crg0004-0510-f03	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
rju02201	clinical picture <EOS>
AJNS-6-39-g003	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
JISP-18-789-g009	preoperative radiograph <EOS>
thnov03p0366g02	scanning electron micrographs of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrographs of the surface of the surface of the surface of the surface of the surface in the.scanning electron micrographs of the surface of the surface of the surface of the surface of the surface of a
pone.0096123.g001	axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right kidney .
PAMJ-19-319-g003	intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right lower lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right upper lobe
CroatMedJ_55_0377-F3	axial and coronal t2-weighted mr images of the brain in a patient with a high signal intensity in the right.axial and coronal t2-weighted mr images of the brain in a patient with a high signal intensity in the left.axial and coronal t2-weighted mr images of the brain in a patient with a high signal intensity in the posterior
jcu-23-44-g002	axial computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large.axial computed tomography scan of the abdomen showing a large cystic mass in the right upper lobe with a large.axial computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a heterogeneous
JCAS-5-154-g002	clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe and.clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe with.clinical photograph of the patient showing a large swelling in the right lower lobe of the left lower lobe and
pone.0093105.g025	ultrasound scan of the right eye showing a large mass in the right upper lobe of the right lower lobe.ultrasound scan of the right eye showing a large mass in the right upper lobe of the right lobe of.ultrasound scan of the right eye showing a large mass in the right upper lobe of the right kidney with
1757-1626-0002-0000008329-003	preoperative photograph <EOS>.preoperative view <EOS>
1471-230X-14-134-1	intraoperative view of the resected specimen <EOS>
pone.0116788.g002	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface in the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a
TOORTHJ-1-4_F10	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
fnins-08-00451-g0001	the right coronary artery in the right coronary artery . <EOS>.the right coronary artery in the right coronary artery in the right coronary artery . <EOS>
IJCIIS-5-66-g002	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
rju10003	axial computed tomography scan of the abdomen showing a large cystic mass in the right lobe of the right lower.axial computed tomography scan of the abdomen showing a large cystic mass in the right lobe of the right lobe.axial computed tomography scan of the abdomen showing a large cystic mass in the right lobe of the right kidney
IndianJOphthalmol-56-247-g003	computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lobe of.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right kidney with
1752-153X-6-50-3	the right coronary artery is seen in the right coronary artery . <EOS>.the right coronary artery is seen in the right coronary artery and the right coronary artery . <EOS>.the right coronary artery is seen in the right coronary artery and the left coronary artery . <EOS>
