JOMP-14-33-g002	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
wjps-4-074-g003	clinical photograph of the patient in a patient with a swelling of the right eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of a patient with a
13256_2015_546_Fig3_HTML	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
1752-1947-8-287-4	histological section of the tumor showing a giant cell carcinoma in the dermis . <EOS>.histological section of the tumor showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
JMAS-7-145-g002	intraoperative view of the lesion <EOS>.intraoperative view of the lesion in the right eye . <EOS>
kjae-59-S90-g002	ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of the.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe with.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe and
JNSBM-2-219-g003	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a.scanning electron micrograph of the surface of the surface of the surface of the surface of the left eye of
LJM-3-128-g002	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
IJA-56-502-g006	magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right frontal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal region
abd-88-06-s1-0143-g04	photomicrograph of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>.photomicrograph of the resected specimen showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
aair-2-65-g004	transmission electron micrograph of the surface of the surface of the surface of the surface of the surface of the.transmission electron micrograph of the surface of the surface of the surface of the surface of the surface in the.transmission electron micrograph of the surface of the surface of the surface of the surface of the surface of a
13018_2015_184_Fig1_HTML	preoperative photograph <EOS>.preoperative view <EOS>
1477-7819-11-153-1	ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount of.ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass in.ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic mass
rjv04702	clinical picture <EOS>
AJNS-8-132-g011	axial ct scan of the brain in a patient with a high signal intensity in the right lobe of the.axial ct scan of the brain in a patient with a high signal intensity in the right frontal lobe and.axial ct scan of the brain in a patient with a high signal intensity in the left frontal lobe and
edmcr-2014-140029-g002	photomicrograph of the biopsy specimen showing a giant cell carcinoma in the dermis . <EOS>.photomicrograph of the biopsy specimen showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
SNI-2-25-g001	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
12957_2015_685_Fig4_HTML	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
eplasty12e41_fig1	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the right kidney.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the right lower.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the right lobe
elife03405fs001	photomicrograph of the biopsy showing a large tumor with a large cytoplasm in the dermis with a large cytoplasm and.photomicrograph of the biopsy showing a large tumor with a large cytoplasm in the dermis with a large cytoplasm of.photomicrograph of the liver showing a large tumor with a large cytoplasm in the dermis with a large cytoplasm and
JCD-11-42-g004	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
IJSS-6-116-g002	preoperative x-ray of the left knee showing a large right hip and left lower lobe and a large right lower.preoperative x-ray of the left knee showing a large left hip and left lower lobe and a large right lower.preoperative x-ray of the left knee showing a large right hip and left lower lobe with a large right lower
f1000research-2-1223-g0001	ultrasound scan of the right eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the left eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe with a large cystic
1757-1626-0002-0000007593-001	preoperative photograph <EOS>.preoperative view <EOS>
JETS-5-360-g002	ct scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe and.ct scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe with.ct scan of the abdomen showing a large lesion in the right lower lobe of the right lower lobe and
pone.0104382.g008	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrographs of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a
LI-29-366-g001	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
13018_2015_155_Fig2_HTML	axial ct scan of the abdomen showing a large mass in the right lower lobe with a large mass in.axial ct scan of the abdomen showing a large mass in the right lower lobe with a large cystic lesion.axial ct scan of the abdomen showing a large mass in the right lower lobe with a large cystic mass
kjr-13-332-g009	axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right kidney .
sensors-13-09747f1	preoperative x-ray of the patient in a patient with a history of the left hip and a patient with a.preoperative x-ray of the patient in a patient with a history of the left hip and a patient with an.preoperative x-ray of the patient in a patient with a history of the left hip and a patient with the
can-7-360fig3	histological section of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>
JMAS-9-116-g001	intraoperative view of the right eye of the left eye showing a swelling in the right eye of the right.intraoperative view of the right eye of the left eye showing a swelling in the right eye of the left.intraoperative view of the right eye of the left eye showing a swelling in the right eye of the patient
kjtcs-46-216-g004	intraoperative view of the lesion <EOS>
wjem-16-438-g004	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
JHRS-5-285-g005	intraoperative picture <EOS>.intraoperative view of the lesion <EOS>.intraoperative view of the lesion in the right lower lobe <EOS>
biodiversity_data_journal-2-e1136-g002_a	the left eye of the patient showing a large cystic lesion in the right lower lobe of the right lower.the left eye of the patient showing a large cystic lesion in the right upper lobe of the right lower.the left eye of the patient showing a large cystic lesion in the right upper lobe of the right eye
cp-2013-2-e28-g006	clinical photograph of the patient showing a large lesion in the right lower lobe of the right lower lobe with.clinical photograph of the patient showing a large lesion in the right lower lobe of the right lower lobe and.clinical photograph of the patient showing a large lesion in the right lower lobe of the right upper lobe and
kjr-11-528-g005	axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right kidney .
1756-9966-29-52-4	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
JNRP-4-309-g002	histological section of the right eye showing a giant cell carcinoma in the dermis . <EOS>
jkms-21-709-g005	x-ray of the left knee showing a large left lower lobe mass in the right lower lobe of the right.x-ray of the left knee showing a large left lower lobe mass in the right lower lobe of the left.x-ray of the left knee showing a large left lower lobe mass in the right lower lobe and the right
1749-8090-7-77-3	x-ray of the left eye showing a large left lower lobe mass in the right lower lobe of the right.x-ray of the left eye showing a large left lower lobe mass in the right lower lobe of the left.x-ray of the left eye showing a large left lower lobe mass in the right lower lobe and the right
1752-1947-8-347-2	intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right upper lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right eye with
IPC-8-17-g077	ct scan of the brain in the patient in a patient with a history of the lesion <EOS>
TODENTJ-8-194_F13	preoperative radiograph <EOS>
crg0005-0201-f02	ultrasound image of the right eye showing a large cystic mass in the right lobe of the right lobe of.ultrasound image of the right eye showing a large cystic mass in the right lobe of the right lower lobe.ultrasound image of the right eye showing a large cystic mass in the right lobe of the right kidney with
pone.0105735.g004	ct scan of the chest showing a large mass in the right lower lobe of the right kidney . <EOS>
JOVR-08-383f1	clinical photograph of the patient showing multiple swelling on the right side <EOS>.clinical photograph of the patient showing multiple swelling in the right lower lobe <EOS>.clinical photograph of the patient showing multiple swelling on the right side of the right lower lobe <EOS>
12887_2014_1153_Fig2_HTML	preoperative photograph <EOS>
AMS-2-36-g001	intraoperative view of the right eye of the left eye of the patient in a patient with a history of.intraoperative view of the right eye of the left eye of the patient in a patient with a patient with.intraoperative view of the right eye of the left eye of the patient in a patient with a patient of
JPN-10-41-g004	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
kjr-15-226-g001	axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
jsls-12-4-414-g01	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
jkns-51-308-g001	axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right kidney .
IJPS-45-77-g015	clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe and.clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe with.clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe of
IJN-23-149-g001	intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right lower.intraoperative photograph of the right eye showing a large cystic mass in the right lower lobe of the right lower.intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right upper
1748-717X-8-169-4	axial and coronal images of the brain in a patient with a high signal intensity in the right frontal lobe.axial and coronal images of the brain in a patient with a high signal intensity in the right lobe of.axial and coronal images of the brain in a patient with a high signal intensity in the left frontal lobe
IJU-27-553-g004	photomicrograph of the biopsy specimen showing a giant cell carcinoma in the dermis . <EOS>.photomicrograph of the biopsy specimen showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
JCIS-3-47-g002	ultrasound image of the right eye showing a large cystic mass in the right upper lobe of the right kidney.ultrasound image of the right eye showing a large cystic mass in the right upper lobe of the right lobe.ultrasound image of the right eye showing a large cystic mass in the right upper lobe of the right lower
kjp-48-309-g005	histological section of the tumor showing a giant cell carcinoma in the dermis . <EOS>
jcbfm201253f3	the 3d image of the brain in a patient with a high signal intensity in the right frontal lobe and.the 3d image of the brain in a patient with a high signal intensity in the left frontal lobe and.the 3d image of the brain in a patient with a high signal intensity in the right frontal lobe with
pone.0134603.g003	postoperative radiograph <EOS>.preoperative view <EOS>.postoperative view of the patient showing the presence of the lesion <EOS>
rstb20140310-g2	ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of the.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe with.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe and
IDOJ-4-185-g002	histological section of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>
AIM-21-4-246_F1	intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right lower.intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right eye.intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right upper
1757-1626-1-324-1	clinical photograph <EOS>.preoperative view <EOS>
1750-1172-7-94-2	axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right kidney .
ijcpd-02-052-g003	a patient with a history of a patient in a patient with a history of a patient in a patient.a patient with a history of a patient in a patient with a history of a patient in the patient.a patient with a history of a patient in a patient with a history of a patient in the left
1477-7819-8-95-4	intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right lower.intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right eye.intraoperative photograph of the right eye showing a large cystic mass in the right lower lobe of the right lower
gox-3-e517-g016	clinical photograph of the right eye showing a swelling in the right lower lobe of the right lower lobe and.clinical photograph of the right eye showing a swelling in the right lower lobe of the right upper lobe and.clinical photograph of the right eye showing a swelling in the right lower lobe of the right lower lobe with
kjs-12-5-g001	magnetic resonance imaging of the brain in a patient with a high signal intensity in the right lobe of the.magnetic resonance imaging of the brain in a patient with a high signal intensity in the right frontal lobe and.magnetic resonance imaging of the brain in a patient with a high signal intensity in the left frontal lobe and
SNI-5-520-g003	x-ray of the chest showing a large lesion in the right lower lobe of the right lower lobe with a.x-ray of the chest showing a large lesion in the right lower lobe of the right lower lobe and the.x-ray of the chest showing a large lesion in the right lower lobe of the left lower lobe with a
JIAPS-19-100-g002	intraoperative view of the lesion <EOS>.intraoperative view of the lesion in the right lower lobe <EOS>
ccr30003-0007-f1	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
IPRS-02-06-g-005	the patient in the patient of the patient in a patient with a history of a patient in a patient.the patient in the patient of the patient in a patient with a history of a patient in the patient.the patient in the patient of the patient in a patient with a history of a patient in the right
IJSS-9-14444-2003-g001	intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right lower lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right eye with
jls0011329490003	axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right kidney .
13256_2014_3077_Fig2_HTML	photograph of the right eye of the patient in a patient with a patient in a patient with a large.photograph of the right eye of the patient in a patient with a patient in a patient with a patient.photograph of the right eye of the patient in a patient with a patient in a patient with a history
IJPD-22-425-g001	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
40902_2015_28_Fig2_HTML	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
aps-39-71-g002	intraoperative photograph of the right eye showing a large lesion in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large lesion in the right upper lobe of the right upper lobe.intraoperative photograph of the right eye showing a large lesion in the right upper lobe of the left lower lobe
JCIS-1-15-g011	magnetic resonance imaging of the brain in a patient with a high signal intensity in the right lobe of the.magnetic resonance imaging of the brain in a patient with a high signal intensity in the right frontal lobe and.magnetic resonance imaging of the brain in a patient with a high signal intensity in the left frontal lobe and
UPS-0300-9734-116-265_g001	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
JMAS-7-190-g001	intraoperative view of the resected specimen <EOS>
IJPI-3-112-g008	scanning electron micrographs of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrographs of the surface of the surface of the surface of the surface of the surface in the.scanning electron micrographs of the surface of the surface of the surface of the surface of the surface of a
12872_2015_30_Fig1_HTML	intraoperative photograph of the right eye of the patient in a case of a patient with a history of a.intraoperative photograph of the right eye of the patient in a case of a patient with a history of the.intraoperative photograph of the right eye of the patient in a case of a patient with a history of an
JETS-6-283-g002	ultrasound scan of the abdomen showing a large mass in the right upper lobe of the right lobe of the.ultrasound scan of the abdomen showing a large mass in the right upper lobe of the right lower lobe with.ultrasound scan of the abdomen showing a large mass in the right upper lobe of the right lower lobe and
1475-2867-13-82-8	ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right kidney.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right lobe.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right lower
1749-799X-5-75-3	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
1752-1947-6-259-1	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
IJPS-41-80-g030	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
JCHIMP-1-9468-g001	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
jsls-4-3-263-g01	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
SNI-2-164-g004	mri of the brain in a patient with a high signal intensity in the right lobe of the right lobe.mri of the brain in a patient with a high signal intensity in the right lobe of the right frontal.mri of the brain in a patient with a high signal intensity in the right lobe of the left lobe
AIM-21-3-213_F8	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
SaudiMedJ-36-1233-g001	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
1476-0711-8-29-3	axial ct scan of the abdomen shows a large mass in the right lower lobe with a large mass in.axial ct scan of the abdomen shows a large mass in the right lower lobe with a large cystic mass.axial ct scan of the abdomen showing a large mass in the right lower lobe with a large cystic mass
hi-2013-1-e3-g004	axial and coronal views of the brain in a patient with a high signal intensity in the right frontal lobe.axial and coronal views of the brain in a patient with a high signal intensity in the left frontal lobe.axial and coronal views of the brain in a patient with a high signal intensity in the right lobe of
CHSJ-40-1-062-fig4	a patient with a skin lesion on the right side of the right eye of the patient in a patient.a patient with a skin lesion on the right side of the right eye of the patient in the patient.a patient with a skin lesion on the right side of the right eye of the patient in a case
IJSS-3-16-g003	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
